"Market Participant ID","Market Participant Name","Pool Member ID"
"FLOR","FLORIDA ENERGY LIMITED","FLOR"
"FMSL","Stratford Place Utilities Ltd","FMSL"
"FNRG","Farmoor Energy Limited","FNRG"
"FORB","Optimal Power Networks Limited",""
"FORT","Fortum Direct Ltd","SFOR"
"FOUR","IPM Energy Retail Ltd","FOUR"
"FRST","Octopus Energy Operations2 Ltd","FRST"
"FSEN","F & S Energy Ltd.","FSEN"
"FSML","Fulcrum Smart Metering Ltd",""
"FUAP","First Utility Ltd",""
"FUEL","Fusion Elec Ltd",""
"FUMA","Fulmar Services Ltd",""
"FUML","Functional Metering Limited",""
"FUSE","Fuse Energy Supply Limited","FUSE"
"FUSI","Fuse Meter Operations Limited",""
"FUSM","Fuse Meter Limited",""
"FXGL","Foxglove Energy Supply Limited","FXGL"
"GALE","Planet 9 Energy Limited","GALE"
"GAMA","DUAL METER SYSTEMS LIMITED",""
"GANY","EDF Energy Customers Limited","GANY"
"GBLO","GridBeyond Limited",""
"GCHP","Grangemouth CHP Limited",""
"GDAB","Absolute Insulation Ltd",""
"GDAC","Acrobat Carbon Services Ltd",""
"GDAD","Green Deal Advice 247 Ltd",""
"GDAE","Advent Energy Management",""
"GDAF","Astute Motoring Ltd",""
"GDAG","Agility Eco Services Ltd",""
"GDAH","Active Energy Funding",""
"GDAI","Anglian Home Improvements",""
"GDAK","Allkaregreendeal Limited",""
"GDAL","Anesco Ltd",""
"GDAM","Ampere Green Deal Ltd",""
"GDAN","AG Energy Solutions Ltd",""
"GDAO","AOS EEHS Ltd",""
"GDAP","Apple Panels Ltd",""
"GDAR","Ace Plumbing Ltd",""
"GDAS","Aran Services Ltd",""
"GDAT","Atlantic Contracting Limited",""
"GDAU","Aura Energy Limited",""
"GDAX","Apex Green Ltd",""
"GDAZ","AAA Green Solutions Ltd",""
"GDBA","Bartons of Duke Street",""
"GDBD","Bartons of Duke Street Limited",""
"GDBE","BritishEco Limited",""
"GDBF","British Gas Finance Limited",""
"GDBG","British Gas",""
"GDBH","Borthwick Heating Insulation",""
"GDBK","Brook Energy Services Ltd",""
"GDBM","BMRE Limited",""
"GDBO","Broad Oak Properties Ltd",""
"GDBR","GB Energy (Renewables) Ltd",""
"GDBS","Myblueskies Limited",""
"GDCA","CarbonLow Real Estate Limited",""
"GDCB","Eco Carbon Print Limited",""
"GDCC","GD Central Charge Database",""
"GDCD","Countrywide Green Deal Ltd",""
"GDCE","Carillion Energy Services",""
"GDCF","CRG Finance",""
"GDCG","CG Energy Ltd",""
"GDCH","Consumer Financial Ltd",""
"GDCI","Cornerstone Ltd",""
"GDCJ","Green Deal Consortia Ltd",""
"GDCK","Clarus Energy Ltd",""
"GDCL","CarbonLow",""
"GDCM","Climate Energy Ltd",""
"GDCN","CertiNergy Ltd",""
"GDCO","The Energy Saving Co-operative",""
"GDCP","Capital Energy",""
"GDCQ","Cardiff Energy Supply Ltd",""
